-----------------------------------------
Search for recursive extensions of: P7
Maximal allowed extension order p: 100
Maximal allowed recursion depth: 6
-----------------------------------------
RULE: 0  7
RULE: 1  7 8 
RULE: 2  7 8 16 
RULE: 3  7 8 16 32 
RULE: 4  7 8 16 32 64 
RULE: 3  7 8 16 64 
RULE: 4  7 8 16 64 96 
RULE: 3  7 8 16 96 
RULE: 2  7 8 32 
RULE: 3  7 8 32 48 
RULE: 4  7 8 32 48 96 
RULE: 3  7 8 32 96 
RULE: 2  7 8 48 
RULE: 3  7 8 48 64 
RULE: 2  7 8 64 
RULE: 3  7 8 64 80 
RULE: 2  7 8 80 
RULE: 3  7 8 80 96 
RULE: 2  7 8 96 
RULE: 1  7 16 
RULE: 2  7 16 24 
RULE: 3  7 16 24 48 
RULE: 4  7 16 24 48 96 
RULE: 3  7 16 24 96 
RULE: 2  7 16 48 
RULE: 3  7 16 48 72 
RULE: 2  7 16 72 
RULE: 3  7 16 72 96 
RULE: 2  7 16 96 
RULE: 1  7 24 
RULE: 2  7 24 32 
RULE: 3  7 24 32 64 
RULE: 2  7 24 64 
RULE: 3  7 24 64 96 
RULE: 2  7 24 96 
RULE: 1  7 32 
RULE: 2  7 32 40 
RULE: 3  7 32 40 80 
RULE: 2  7 32 80 
RULE: 1  7 40 
RULE: 2  7 40 48 
RULE: 3  7 40 48 96 
RULE: 2  7 40 96 
RULE: 1  7 48 
RULE: 2  7 48 56 
RULE: 1  7 56 
RULE: 2  7 56 64 
RULE: 1  7 64 
RULE: 2  7 64 72 
RULE: 1  7 72 
RULE: 2  7 72 80 
RULE: 1  7 80 
RULE: 2  7 80 88 
RULE: 1  7 88 
RULE: 2  7 88 96 
RULE: 1  7 96 
